Location,L,Species,spab,natexo,T,area,perimeter,complexity,dperimeter,sqrtarea,height,dsqrtarea,dcomplexity,distance,ndetect
BRBG,2,Clidemia hirta,CLHI,e14,14,23.865,22.814,4.670041263,41.026,4.885181675,0.5,-1.044818325,-1.019958737,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,30.431,26.173,4.744553992,37.667,5.516430005,0.2,-0.413569995,-0.945446008,0,126
CBG,3,Clidemia hirta,CLHI,e14,14,32.971,32.972,5.74221212,30.868,5.742037966,0.45,-0.187962034,0.05221212,0,126
KBG,4,Clidemia hirta,CLHI,e14,14,36.04,30.792,5.129151263,33.048,6.003332408,0.51,0.073332408,-0.560848737,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,36.077,30.81,5.129517197,33.03,6.006413239,0.3,0.076413239,-0.560482803,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,37.036,28.693,4.714807011,35.147,6.085720993,0.4,0.155720993,-0.975192989,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,38.048,32.051,5.196078071,31.789,6.168306088,0.5,0.238306088,-0.493921929,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,39.558,31.235,4.96620162,32.605,6.289515085,0.25,0.359515085,-0.72379838,0,126
KBG,4,Clidemia hirta,CLHI,e14,14,43.889,29.688,4.481290505,34.152,6.624877357,0.5,0.694877357,-1.208709495,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,44.266,30.134,4.529201517,33.706,6.653269873,0.25,0.723269873,-1.160798483,0,126
KBG,4,Clidemia hirta,CLHI,e14,14,48.994,33.467,4.781292741,30.373,6.999571415,0.6,1.069571415,-0.908707259,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,51.864,37.011,5.139227168,26.829,7.201666474,1.1,1.271666474,-0.550772832,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,52.04,32.815,4.548872505,31.025,7.213875519,0.7,1.283875519,-1.141127495,0,126
KBG,4,Clidemia hirta,CLHI,e14,14,53.039,37.707,5.177550187,26.133,7.282787928,0.81,1.352787928,-0.512449813,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,57.766,40.585,5.339854239,23.255,7.600394727,0.4,1.670394727,-0.350145761,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,58.726,36.035,4.702288988,27.805,7.663289111,0.25,1.733289111,-0.987711012,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,59.669,38.885,5.033936392,24.955,7.724571186,0.6,1.794571186,-0.656063608,0,126
KBG,4,Clidemia hirta,CLHI,e14,14,61.352,39.073,4.988412915,24.767,7.832751751,0.4,1.902751751,-0.701587085,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,66.138,38.569,4.742560174,25.271,8.132527282,0.17,2.202527282,-0.947439826,0,126
KBG,4,Clidemia hirta,CLHI,e14,14,66.613,42.545,5.21277562,21.295,8.161678749,1.1,2.231678749,-0.47722438,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,71.934,40.773,4.807348005,23.067,8.481391395,0.23,2.551391395,-0.882651995,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,76.752,38.877,4.437597355,24.963,8.760821879,0.17,2.830821879,-1.252402645,0,126
KBG,4,Clidemia hirta,CLHI,e14,14,82.016,45.007,4.969706868,18.833,9.056268547,1.01,3.126268547,-0.720293132,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,87.695,46.849,5.002797326,16.991,9.364560855,0.6,3.434560855,-0.687202674,0,126
BRBG,2,Clidemia hirta,CLHI,e14,14,92.915,46.582,4.832537307,17.258,9.639242709,1.5,3.709242709,-0.857462693,0,126
